,words,sentiment_vector
0,.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,to,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,i,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,the,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,!,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,?,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,you,"[0.3646699550196657, 0.8215529509808686, 0.4382540047056976, 0.0, 0.0, 0.0]"
7,a,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,for,"[0.2741859872295096, 0.23792612265590493, 0.9317795901203817, 0.0, 0.0, 0.0]"
9,",","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,flight,"[0.6204458395289542, 0.03938606266129703, 0.4426625370969328, 0.6461776663814359, 0.0, 0.0]"
11,on,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,and,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,not,"[0.02030246572632416, 0.19267438061844888, 0.18670306716953, 0.16162355068407078, 0.1556522372351519, 0.1429134352107916]"
14,my,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,is,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,in,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,it,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,have,"[0.7279458634065017, 0.6856346111081052, 0.0, 0.0, 0.0, 0.0]"
19,of,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,me,"[0.8940878078301907, 0.44789171893372165, 0.0, 0.0, 0.0, 0.0]"
21,',"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,your,"[0.2055421895690113, 0.9786482556604168, 0.0, 0.0, 0.0, 0.0]"
23,-,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,that,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,can,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,was,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,with,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,no,"[0.02039038318536467, 0.22577715199794698, 0.202791629134445, 0.202791629134445, 0.18536711986695156, 0.1449570877359561]"
29,s,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,at,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,are,"[0.7307956057308314, 0.6825963541101776, 0.0, 0.0, 0.0, 0.0]"
32,this,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,do,"[0.057260087089662244, 0.05424827548084465, 0.6189110043262582, 0.7814906114328574, 0.0, 0.0]"
34,get,"[0.07864098593211762, 0.13477150034371096, 0.6077014907984031, 0.37201185855631974, 0.6840747862636077, 0.0]"
35,we,"[0.3051720518758891, 0.19723593685676807, 0.9198627188909477, 0.14771791482635413, 0.0, 0.0]"
36,but,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,from,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,be,"[0.04723060668853676, 0.01439997576464563, 0.9987802113026721, 0.0, 0.0, 0.0]"
39,will,"[0.2376586996742799, 0.1223585235308955, 0.5753749961443922, 0.7729749983022157, 0.0, 0.0]"
40,am,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,thanks,"[0.055044394580938204, 0.024018411067690502, 0.06820407269525036, 0.7184416948880409, 0.36704700969770276, 0.5838317041247042]"
42,cancelled,"[0.8251151172537675, 0.20974090637142118, 0.2852089325247797, -0.44028361346054184, 0.0, 0.0]"
43,now,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,hours,"[0.2762389035262468, 0.1660915813530419, 0.3439353761114231, -0.34034564090717007, 0.813620892404346, 0.0]"
45,just,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,an,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,service,"[0.042978107236648674, 0.27706660089709145, 0.09237078543972321, 0.6032863589139981, 0.7408779846312257, 0.0]"
48,so,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
